Precinct,Crime Description,Year,Count
Hollenbeck,THEFT OF IDENTITY,2023,382
Hollenbeck,VEHICLE - STOLEN,2020,1302
Hollenbeck,VEHICLE - STOLEN,2021,1260
Hollenbeck,VEHICLE - STOLEN,2022,1380
Hollenbeck,VEHICLE - STOLEN,2023,1087
Hollywood,BATTERY - SIMPLE ASSAULT,2020,878
Hollywood,BATTERY - SIMPLE ASSAULT,2021,1025
Hollywood,BATTERY - SIMPLE ASSAULT,2022,1182
Hollywood,BATTERY - SIMPLE ASSAULT,2023,1017
Hollywood,BURGLARY,2020,644
Hollywood,BURGLARY,2021,611
Hollywood,BURGLARY,2022,594
Hollywood,BURGLARY,2023,528
Hollywood,BURGLARY FROM VEHICLE,2020,687
Hollywood,BURGLARY FROM VEHICLE,2021,1068
Hollywood,BURGLARY FROM VEHICLE,2022,1142
Hollywood,BURGLARY FROM VEHICLE,2023,719
Hollywood,THEFT OF IDENTITY,2020,460
Hollywood,THEFT OF IDENTITY,2021,610
Hollywood,THEFT OF IDENTITY,2022,722
Hollywood,THEFT OF IDENTITY,2023,444
Hollywood,VEHICLE - STOLEN,2020,709
Hollywood,VEHICLE - STOLEN,2021,896
Hollywood,VEHICLE - STOLEN,2022,901
Hollywood,VEHICLE - STOLEN,2023,705
Mission,BATTERY - SIMPLE ASSAULT,2020,590
Mission,BATTERY - SIMPLE ASSAULT,2021,504
Mission,BATTERY - SIMPLE ASSAULT,2022,580
Mission,BATTERY - SIMPLE ASSAULT,2023,623
Mission,BURGLARY,2020,393
Mission,BURGLARY,2021,346
Mission,BURGLARY,2022,328
Mission,BURGLARY,2023,326
Mission,BURGLARY FROM VEHICLE,2020,450
Mission,BURGLARY FROM VEHICLE,2021,431
Mission,BURGLARY FROM VEHICLE,2022,378
Mission,BURGLARY FROM VEHICLE,2023,294
Mission,THEFT OF IDENTITY,2020,382
Mission,THEFT OF IDENTITY,2021,638
Mission,THEFT OF IDENTITY,2022,1008
Mission,THEFT OF IDENTITY,2023,647
Mission,VEHICLE - STOLEN,2020,1196
Mission,VEHICLE - STOLEN,2021,1191
Mission,VEHICLE - STOLEN,2022,1180
Mission,VEHICLE - STOLEN,2023,1095
N Hollywood,BATTERY - SIMPLE ASSAULT,2020,750
N Hollywood,BATTERY - SIMPLE ASSAULT,2021,776
N Hollywood,BATTERY - SIMPLE ASSAULT,2022,761
N Hollywood,BATTERY - SIMPLE ASSAULT,2023,749
N Hollywood,BURGLARY,2020,771
N Hollywood,BURGLARY,2021,790
N Hollywood,BURGLARY,2022,921
N Hollywood,BURGLARY,2023,802
N Hollywood,BURGLARY FROM VEHICLE,2020,822
N Hollywood,BURGLARY FROM VEHICLE,2021,908
N Hollywood,BURGLARY FROM VEHICLE,2022,719
N Hollywood,BURGLARY FROM VEHICLE,2023,613
N Hollywood,THEFT OF IDENTITY,2020,586
N Hollywood,THEFT OF IDENTITY,2021,655
N Hollywood,THEFT OF IDENTITY,2022,1033
N Hollywood,THEFT OF IDENTITY,2023,546
N Hollywood,VEHICLE - STOLEN,2020,993
N Hollywood,VEHICLE - STOLEN,2021,1026
N Hollywood,VEHICLE - STOLEN,2022,1004
N Hollywood,VEHICLE - STOLEN,2023,937
Newton,BATTERY - SIMPLE ASSAULT,2020,869
Newton,BATTERY - SIMPLE ASSAULT,2021,921
Newton,BATTERY - SIMPLE ASSAULT,2022,1071
Newton,BATTERY - SIMPLE ASSAULT,2023,1043
